Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,7910.200195,7965.040039,7880.850098,7965.000000,7965.000000,47030000
1998-01-05,7967.000000,8035.540039,7912.979980,7979.000000,7979.000000,67560000
1998-01-06,7978.250000,7978.250000,7880.350098,7906.250000,7906.250000,60200000
1998-01-07,7904.799805,7905.759766,7776.970215,7902.299805,7902.299805,60990000
1998-01-08,7902.000000,7902.020020,7796.149902,7802.600098,7802.600098,63720000
1998-01-09,7799.899902,7800.129883,7527.359863,7580.399902,7580.399902,86300000
1998-01-12,7575.200195,7652.660156,7443.410156,7647.200195,7647.200195,80340000
1998-01-13,7646.399902,7733.120117,7645.689941,7732.100098,7732.100098,69010000
1998-01-14,7732.100098,7788.919922,7707.959961,7784.700195,7784.700195,60650000
1998-01-15,7783.700195,7783.939941,7686.540039,7691.799805,7691.799805,55900000
1998-01-16,7696.009766,7803.120117,7696.009766,7753.500000,7753.500000,72620000
1998-01-20,7753.799805,7874.870117,7749.560059,7873.100098,7873.100098,69310000
1998-01-21,7871.899902,7872.120117,7737.359863,7794.399902,7794.399902,69130000
1998-01-22,7793.399902,7797.890137,7701.979980,7730.899902,7730.899902,73460000
1998-01-23,7730.600098,7776.970215,7642.700195,7700.700195,7700.700195,61250000
1998-01-26,7701.729980,7757.779785,7690.770020,7712.939941,7712.939941,52540000
1998-01-27,7713.189941,7848.459961,7708.709961,7815.080078,7815.080078,69300000
1998-01-28,7815.080078,7919.209961,7815.080078,7915.470215,7915.470215,73510000
1998-01-29,7916.720215,8015.120117,7883.089844,7973.020020,7973.020020,77770000
1998-01-30,7971.270020,7985.970215,7893.049805,7906.500000,7906.500000,53670000
1998-02-02,7909.990234,8122.229980,7909.990234,8107.779785,8107.779785,64720000
1998-02-03,8107.779785,8164.330078,8057.709961,8160.350098,8160.350098,59100000
1998-02-04,8158.600098,8160.100098,8090.100098,8129.709961,8129.709961,56070000
1998-02-05,8128.709961,8182.270020,8071.910156,8117.250000,8117.250000,60110000
1998-02-06,8113.759766,8211.910156,8113.129883,8189.490234,8189.490234,49520000
1998-02-09,8191.490234,8216.650391,8141.910156,8180.520020,8180.520020,45450000
1998-02-10,8179.779785,8320.030273,8178.279785,8295.610352,8295.610352,67300000
1998-02-11,8293.370117,8314.549805,8276.929688,8314.549805,8314.549805,50190000
1998-02-12,8311.309570,8390.269531,8238.320313,8369.599609,8369.599609,57830000
1998-02-13,8366.860352,8374.830078,8311.809570,8370.099609,8370.099609,44030000
1998-02-17,8368.599609,8446.320313,8368.599609,8398.500000,8398.500000,57180000
1998-02-18,8393.509766,8451.059570,8361.879883,8451.059570,8451.059570,55000000
1998-02-19,8451.809570,8451.809570,8369.349609,8375.580078,8375.580078,54340000
1998-02-20,8375.830078,8424.400391,8318.530273,8413.940430,8413.940430,57230000
1998-02-23,8413.940430,8446.570313,8374.830078,8410.200195,8410.200195,47940000
1998-02-24,8408.209961,8421.660156,8345.440430,8370.099609,8370.099609,53390000
1998-02-25,8368.849609,8489.169922,8368.849609,8457.780273,8457.780273,47540000
1998-02-26,8455.290039,8503.120117,8419.919922,8490.669922,8490.669922,49390000
1998-02-27,8489.669922,8566.889648,8474.969727,8545.719727,8545.719727,55150000
1998-03-02,8544.469727,8566.889648,8510.839844,8550.450195,8550.450195,55600000
1998-03-03,8548.709961,8585.080078,8509.349609,8584.830078,8584.830078,57200000
1998-03-04,8582.589844,8583.040039,8494.650391,8539.240234,8539.240234,51380000
1998-03-05,8536.799805,8537.049805,8405.719727,8444.330078,8444.330078,57110000
1998-03-06,8446.820313,8570.879883,8444.580078,8569.389648,8569.389648,56180000
1998-03-09,8570.629883,8624.440430,8541.240234,8567.139648,8567.139648,60730000
1998-03-10,8567.639648,8650.099609,8566.639648,8643.120117,8643.120117,52660000
1998-03-11,8642.370117,8695.190430,8639.629883,8675.750000,8675.750000,48620000
1998-03-12,8673.759766,8682.480469,8611.240234,8659.559570,8659.559570,46110000
1998-03-13,8659.559570,8698.419922,8592.799805,8602.519531,8602.519531,48870000
1998-03-16,8603.509766,8718.849609,8602.019531,8718.849609,8718.849609,49980000
1998-03-17,8718.849609,8749.990234,8683.980469,8749.990234,8749.990234,51720000
1998-03-18,8746.500000,8780.129883,8706.889648,8775.400391,8775.400391,48740000
1998-03-19,8770.919922,8803.049805,8759.950195,8803.049805,8803.049805,54710000
1998-03-20,8803.799805,8913.410156,8803.299805,8906.429688,8906.429688,78600000
1998-03-23,8899.709961,8900.139648,8807.290039,8816.250000,8816.250000,52570000
1998-03-24,8817.500000,8920.379883,8817.500000,8904.440430,8904.440430,46280000
1998-03-25,8905.190430,8959.240234,8800.059570,8872.799805,8872.799805,59390000
1998-03-26,8868.570313,8892.980469,8820.990234,8846.889648,8846.889648,52240000
1998-03-27,8846.150391,8895.719727,8771.910156,8796.080078,8796.080078,57390000
1998-03-30,8795.080078,8827.959961,8748.740234,8782.120117,8782.120117,44030000
1998-03-31,8783.120117,8898.959961,8776.889648,8799.809570,8799.809570,61770000
1998-04-01,8801.559570,8883.759766,8748.740234,8868.320313,8868.320313,79540000
1998-04-02,8868.320313,8997.110352,8861.339844,8986.639648,8986.639648,74630000
1998-04-03,8986.639648,9030.490234,8946.290039,8983.410156,8983.410156,65520000
1998-04-06,8983.410156,9094.509766,8983.410156,9033.230469,9033.230469,76620000
1998-04-07,9033.230469,9033.980469,8893.480469,8956.500000,8956.500000,74580000
1998-04-08,8956.500000,8968.959961,8861.839844,8891.480469,8891.480469,71630000
1998-04-09,8891.480469,9014.299805,8890.740234,8994.860352,8994.860352,56620000
1998-04-13,8997.110352,9025.259766,8925.610352,9012.299805,9012.299805,62320000
1998-04-14,9014.299805,9121.410156,9013.799805,9110.200195,9110.200195,61980000
1998-04-15,9110.450195,9162.269531,9083.549805,9162.269531,9162.269531,67260000
1998-04-16,9162.269531,9164.759766,9041.950195,9076.570313,9076.570313,64980000
1998-04-17,9077.570313,9167.500000,9052.910156,9167.500000,9167.500000,62810000
1998-04-20,9166.750000,9172.730469,9091.519531,9141.839844,9141.839844,60310000
1998-04-21,9137.849609,9193.650391,9098.250000,9184.940430,9184.940430,67520000
1998-04-22,9184.929688,9213.330078,9165.259766,9176.719727,9176.719727,55020000
1998-04-23,9176.959961,9209.099609,9114.690430,9143.330078,9143.330078,66130000
1998-04-24,9143.830078,9160.019531,9020.030273,9064.620117,9064.620117,68360000
1998-04-27,9058.139648,9058.639648,8840.669922,8917.639648,8917.639648,78750000
1998-04-28,8920.879883,9006.570313,8863.580078,8898.959961,8898.959961,63230000
1998-04-29,8899.209961,8995.110352,8899.209961,8951.519531,8951.519531,51340000
1998-04-30,8953.509766,9128.639648,8953.509766,9063.370117,9063.370117,58810000
1998-05-01,9066.610352,9147.820313,9066.610352,9147.070313,9147.070313,50100000
1998-05-04,9145.330078,9261.910156,9145.330078,9192.660156,9192.660156,50980000
1998-05-05,9192.660156,9198.139648,9104.469727,9147.570313,9147.570313,42750000
1998-05-06,9146.190430,9180.200195,9049.919922,9054.650391,9054.650391,45340000
1998-05-07,9053.160156,9055.650391,8965.219727,8976.679688,8976.679688,52340000
1998-05-08,8978.169922,9095.750000,8971.200195,9055.150391,9055.150391,51560000
1998-05-11,9055.509766,9189.669922,9055.400391,9091.519531,9091.519531,56820000
1998-05-12,9089.530273,9175.719727,9059.879883,9161.769531,9161.769531,56310000
1998-05-13,9158.620117,9225.540039,9157.030273,9211.839844,9211.839844,59710000
1998-05-14,9211.339844,9221.559570,9113.940430,9172.230469,9172.230469,72870000
1998-05-15,9170.339844,9186.179688,9090.519531,9096.000000,9096.000000,65290000
1998-05-18,9092.969727,9128.889648,8999.849609,9050.910156,9050.910156,53140000
1998-05-19,9052.160156,9113.440430,9038.209961,9054.650391,9054.650391,55270000
1998-05-20,9053.759766,9172.980469,9052.019531,9171.480469,9171.480469,62430000
1998-05-21,9171.730469,9202.370117,9104.969727,9132.370117,9132.370117,58660000
1998-05-22,9132.370117,9164.259766,9077.320313,9114.440430,9114.440430,34130000
1998-05-26,9114.440430,9168.740234,8962.730469,8963.730469,8963.730469,43350000
1998-05-27,8963.809570,8964.059570,8788.099609,8936.570313,8936.570313,66910000
1998-05-28,8933.469727,8993.120117,8900.700195,8970.200195,8970.200195,47970000
1998-05-29,8970.200195,9027.000000,8899.950195,8899.950195,8899.950195,49310000
1998-06-01,8900.950195,8981.410156,8864.080078,8922.370117,8922.370117,54770000
1998-06-02,8922.870117,8976.679688,8872.299805,8891.240234,8891.240234,55160000
1998-06-03,8889.440430,8928.349609,8789.849609,8803.799805,8803.799805,46970000
1998-06-04,8804.299805,8876.540039,8749.740234,8870.559570,8870.559570,49950000
1998-06-05,8870.559570,9039.459961,8870.559570,9037.709961,9037.709961,53630000
1998-06-08,9039.950195,9104.719727,9034.969727,9069.599609,9069.599609,49410000
1998-06-09,9070.589844,9086.540039,9014.540039,9049.919922,9049.919922,45310000
1998-06-10,9050.169922,9096.000000,8952.269531,8971.700195,8971.700195,62720000
1998-06-11,8971.700195,8993.620117,8808.530273,8811.769531,8811.769531,59840000
1998-06-12,8811.769531,8834.940430,8684.219727,8834.940430,8834.940430,59700000
1998-06-15,8831.950195,8831.950195,8623.190430,8627.929688,8627.929688,58000000
1998-06-16,8635.150391,8675.509766,8569.879883,8665.290039,8665.290039,68610000
1998-06-17,8666.230469,8892.480469,8665.730469,8829.459961,8829.459961,72940000
1998-06-18,8824.919922,8853.870117,8793.330078,8813.009766,8813.009766,64310000
1998-06-19,8812.769531,8861.839844,8688.959961,8712.870117,8712.870117,79840000
1998-06-22,8711.740234,8763.690430,8684.219727,8711.129883,8711.129883,45540000
1998-06-23,8713.370117,8830.450195,8713.370117,8828.459961,8828.459961,54910000
1998-06-24,8829.209961,8934.330078,8777.889648,8923.870117,8923.870117,73650000
1998-06-25,8923.870117,9025.009766,8915.400391,8935.580078,8935.580078,68640000
1998-06-26,8934.259766,8991.629883,8934.080078,8944.540039,8944.540039,52140000
1998-06-29,8945.540039,9052.660156,8945.540039,8997.360352,8997.360352,50170000
1998-06-30,8994.719727,9020.519531,8929.599609,8952.019531,8952.019531,61360000
1998-07-01,8958.990234,9049.169922,8958.990234,9048.669922,9048.669922,66790000
1998-07-02,9047.679688,9047.679688,9003.330078,9025.259766,9025.259766,50060000
1998-07-06,9023.059570,9091.769531,9000.589844,9091.769531,9091.769531,48820000
1998-07-07,9091.269531,9150.809570,9067.110352,9085.040039,9085.040039,56520000
1998-07-08,9086.290039,9184.440430,9084.299805,9174.969727,9174.969727,59980000
1998-07-09,9174.969727,9174.969727,9065.610352,9089.780273,9089.780273,65780000
1998-07-10,9090.809570,9135.599609,9029.790039,9105.740234,9105.740234,67280000
1998-07-13,9107.030273,9132.769531,9073.299805,9096.209961,9096.209961,57050000
1998-07-14,9100.070313,9256.610352,9098.530273,9245.540039,9245.540039,61490000
1998-07-15,9246.570313,9305.530273,9228.030273,9234.469727,9234.469727,75860000
1998-07-16,9233.230469,9332.309570,9206.150391,9328.190430,9328.190430,63190000
1998-07-17,9328.190430,9354.709961,9310.169922,9337.969727,9337.969727,56870000
1998-07-20,9340.549805,9367.839844,9264.589844,9295.750000,9295.750000,58490000
1998-07-21,9296.259766,9344.669922,9173.969727,9190.190430,9190.190430,75250000
1998-07-22,9185.709961,9186.370117,9075.099609,9128.910156,9128.910156,90780000
1998-07-23,9130.459961,9156.459961,8932.980469,8932.980469,8932.980469,9440000
1998-07-24,8934.519531,8998.379883,8863.209961,8937.360352,8937.360352,83960000
1998-07-27,8937.360352,9028.240234,8855.740234,9028.240234,9028.240234,73130000
1998-07-28,9028.500000,9028.500000,8816.089844,8934.780273,8934.780273,77500000
1998-07-29,8935.809570,9001.209961,8880.709961,8914.959961,8914.959961,66510000
1998-07-30,8913.410156,9041.370117,8913.410156,9026.950195,9026.950195,73500000
1998-07-31,9026.950195,9030.040039,8828.190430,8883.290039,8883.290039,75420000
1998-08-03,8883.290039,8886.120117,8785.969727,8786.740234,8786.740234,65830000
1998-08-04,8788.799805,8857.030273,8487.309570,8487.309570,8487.309570,96980000
1998-08-05,8486.019531,8574.849609,8361.919922,8546.780273,8546.780273,98760000
